time,open,high,low,close,tick_volume,spread,real_volume
2025-09-18 13:55:00,1.37711,1.37745,1.3771,1.37732,94,3,0
2025-09-18 14:00:00,1.37728,1.37731,1.37703,1.37711,143,3,0
2025-09-18 14:05:00,1.37714,1.37736,1.377,1.37726,148,3,0
2025-09-18 14:10:00,1.37727,1.3774600000000001,1.37724,1.37728,126,3,0
2025-09-18 14:15:00,1.37729,1.37745,1.37703,1.37721,92,3,0
2025-09-18 14:20:00,1.37721,1.37728,1.37705,1.37725,101,3,0
2025-09-18 14:25:00,1.37723,1.3774899999999999,1.3772,1.3774199999999999,91,3,0
2025-09-18 14:30:00,1.37743,1.37752,1.37733,1.37743,106,3,0
2025-09-18 14:35:00,1.37743,1.37745,1.37714,1.37734,127,3,0
2025-09-18 14:40:00,1.37733,1.37778,1.37732,1.37771,124,3,0
2025-09-18 14:45:00,1.37771,1.37788,1.37767,1.37775,98,3,0
2025-09-18 14:50:00,1.37775,1.37784,1.37765,1.37775,79,3,0
2025-09-18 14:55:00,1.37774,1.37777,1.37754,1.37775,134,3,0
2025-09-18 15:00:00,1.37775,1.37791,1.37762,1.37774,213,3,0
2025-09-18 15:05:00,1.37775,1.37825,1.37768,1.37825,131,3,0
2025-09-18 15:10:00,1.37824,1.37838,1.37816,1.37835,124,3,0
2025-09-18 15:15:00,1.37835,1.37835,1.37796,1.37812,113,3,0
2025-09-18 15:20:00,1.37814,1.3784399999999999,1.37814,1.3783,145,3,0
2025-09-18 15:25:00,1.37829,1.3786399999999999,1.37818,1.37818,84,3,0
2025-09-18 15:30:00,1.37797,1.37892,1.37797,1.37879,168,3,0
2025-09-18 15:35:00,1.37879,1.37889,1.37824,1.3784100000000001,223,3,0
2025-09-18 15:40:00,1.37843,1.3784399999999999,1.37821,1.37824,173,3,0
2025-09-18 15:45:00,1.37822,1.37824,1.37764,1.37766,174,3,0
2025-09-18 15:50:00,1.37765,1.37858,1.37764,1.37842,211,4,0
2025-09-18 15:55:00,1.3784100000000001,1.37863,1.37814,1.37862,197,3,0
2025-09-18 16:00:00,1.37867,1.37896,1.3786399999999999,1.3789,208,3,0
2025-09-18 16:05:00,1.37893,1.37958,1.37874,1.37874,248,3,0
2025-09-18 16:10:00,1.37875,1.37913,1.37873,1.37889,161,3,0
2025-09-18 16:15:00,1.37889,1.3791,1.37874,1.37906,163,3,0
2025-09-18 16:20:00,1.37908,1.37933,1.37907,1.37911,151,3,0
2025-09-18 16:25:00,1.37911,1.37923,1.37906,1.37912,125,3,0
2025-09-18 16:30:00,1.37903,1.37968,1.379,1.37961,179,3,0
2025-09-18 16:35:00,1.3796300000000001,1.37977,1.37916,1.37975,222,3,0
2025-09-18 16:40:00,1.37975,1.38086,1.37972,1.3808500000000001,273,3,0
2025-09-18 16:45:00,1.38086,1.38098,1.3801999999999999,1.38033,286,3,0
2025-09-18 16:50:00,1.38028,1.3804,1.37981,1.38029,261,3,0
2025-09-18 16:55:00,1.38028,1.38059,1.3795600000000001,1.37971,231,3,0
2025-09-18 17:00:00,1.37978,1.37996,1.37918,1.37938,262,3,0
2025-09-18 17:05:00,1.37938,1.37972,1.37918,1.37951,288,3,0
2025-09-18 17:10:00,1.37954,1.37958,1.3793,1.3795600000000001,237,3,0
2025-09-18 17:15:00,1.37955,1.37991,1.37942,1.37988,208,3,0
2025-09-18 17:20:00,1.37984,1.38022,1.37979,1.37996,205,3,0
2025-09-18 17:25:00,1.37996,1.38006,1.37972,1.37984,223,3,0
2025-09-18 17:30:00,1.37981,1.37997,1.37939,1.37972,247,3,0
2025-09-18 17:35:00,1.37972,1.38013,1.3796300000000001,1.3799000000000001,219,3,0
2025-09-18 17:40:00,1.37991,1.38013,1.37969,1.38011,187,3,0
2025-09-18 17:45:00,1.3801,1.38014,1.37927,1.37971,222,3,0
2025-09-18 17:50:00,1.37975,1.3805,1.37953,1.38033,233,3,0
2025-09-18 17:55:00,1.38033,1.3805100000000001,1.3801999999999999,1.38033,237,2,0
2025-09-18 18:00:00,1.38031,1.38034,1.3798,1.37985,232,3,0
2025-09-18 18:05:00,1.37985,1.3804699999999999,1.3798,1.38046,257,3,0
2025-09-18 18:10:00,1.38043,1.38066,1.38035,1.38056,244,3,0
2025-09-18 18:15:00,1.38056,1.38066,1.38002,1.38007,215,3,0
