time,open,high,low,close,tick_volume,spread,real_volume,ema8,ema21,ema50,ema200,atr,rsi,macd,macd_signal,macd_hist,macd_histogram,macd_slope,macd_crossover,macd_zero_cross,bb_upper,bb_mid,bb_middle,bb_lower,bb_pct,bb_width,bb_position,bb_squeeze,bb_touch_upper,bb_touch_lower,dmp,dmn,adx_plus_di,adx_minus_di,adx,adx_strength,adx_bullish_cross,adx_bearish_cross,stoch_k,stoch_d,stoch_k_slow,stoch_overbought,stoch_oversold,stoch_bullish_cross,stoch_bearish_cross,momentum
2025-07-31 22:00:00,1.32178,1.32261,1.3205,1.3205,2199,18,0,1.3205,1.3205,1.3205,1.3205,0.0021100000000000563,0.0,0.0,0.0,0.0,0.0,-2.3133903134020528e-05,NONE,NONE,1.3273085258725759,1.3203015,1.3203015,1.3132944741274242,0.9251803249464281,0.010614281469150095,0.9251803249464281,False,False,False,0.0,0.0,0.0,0.0,0.0,WEAK,False,False,0.7451564827486132,15.011616689964855,28.932550123496927,False,False,False,False,-0.00032999999999994145
2025-07-31 23:00:00,1.3205200000000001,1.32096,1.31988,1.3202099999999999,1961,18,0,1.3204355555555556,1.3204736363636362,1.3204886274509806,1.3204971144278608,0.0020364285714286217,0.0,-2.3133903134020528e-05,-4.626780626804106e-06,-1.8507122507216422e-05,-1.8507122507216422e-05,-2.3133903134020528e-05,BEARISH,BEARISH,1.3273085258725759,1.3203015,1.3203015,1.3132944741274242,0.9251803249464281,0.010614281469150095,0.9251803249464281,False,False,False,0.0,2.1746755513700284,0.0,2.1746755513700284,7.142857142853858,WEAK,False,True,0.7451564827486132,15.011616689964855,28.932550123496927,False,False,False,False,-0.00032999999999994145
2025-08-01 00:00:00,1.32008,1.32112,1.3195700000000001,1.31992,1001,31,0,1.320320987654321,1.3204233057851238,1.320466328335256,1.3204913719957427,0.00200168367346943,0.0,-6.412902492680672e-05,-1.652722948680463e-05,-4.7601795440002095e-05,-4.7601795440002095e-05,-4.099512179278619e-05,NONE,NONE,1.3273085258725759,1.3203015,1.3203015,1.3132944741274242,0.9251803249464281,0.010614281469150095,0.9251803249464281,False,False,False,0.0,3.1606045914926573,0.0,3.1606045914926573,13.775510204076323,WEAK,False,False,0.7451564827486132,15.011616689964855,28.932550123496927,False,False,False,False,-0.00032999999999994145
2025-08-01 01:00:00,1.31994,1.32083,1.31992,1.32054,1124,18,0,1.3203696570644718,1.3204339143501125,1.320469217420148,1.3204918558564818,0.0019237062682216114,14.123006788670551,-4.6058205534604824e-05,-2.243342469636467e-05,-2.3624780838240152e-05,-2.3624780838240152e-05,1.8070819392201898e-05,NONE,NONE,1.3273085258725759,1.3203015,1.3203015,1.3132944741274242,0.9251803249464281,0.010614281469150095,0.9251803249464281,False,False,False,0.0,3.0538111054185593,0.0,3.0538111054185593,19.934402332354246,MODERATE,False,False,0.7451564827486132,15.011616689964855,28.932550123496927,False,False,False,False,-0.00032999999999994145
2025-08-01 02:00:00,1.3205200000000001,1.3210600000000001,1.31988,1.32069,1615,18,0,1.320440844383478,1.3204571948637385,1.3204778755605344,1.3204938274399993,0.0018705843919200808,17.170863556432664,-1.940946435241564e-05,-2.1828632627574866e-05,2.419168275159227e-06,2.419168275159227e-06,2.6648741182189184e-05,BULLISH,NONE,1.3273085258725759,1.3203015,1.3203015,1.3132944741274242,0.9251803249464281,0.010614281469150095,0.9251803249464281,False,False,False,0.8782587671940333,2.916210978150195,0.8782587671940333,2.916210978150195,22.34683680286923,MODERATE,False,False,0.7451564827486132,15.011616689964855,28.932550123496927,False,False,False,False,-0.00032999999999994145
2025-08-01 03:00:00,1.32069,1.32124,1.32005,1.32093,2392,18,0,1.320549545631594,1.3205001771488531,1.3204956059307096,1.320498167465472,0.0018219712210686483,21.94425720034191,2.0835668646190797e-05,-1.3295772372821734e-05,3.413144101901253e-05,3.413144101901253e-05,4.0245132998606437e-05,NONE,BULLISH,1.3273085258725759,1.3203015,1.3203015,1.3132944741274242,0.9251803249464281,0.010614281469150095,0.9251803249464281,False,False,False,1.5429576799814355,2.7801616649949445,1.5429576799814355,2.7801616649949445,22.794799651918986,MODERATE,False,False,0.7451564827486132,15.011616689964855,28.932550123496927,False,False,False,False,-0.00032999999999994145
2025-08-01 04:00:00,1.32092,1.3212,1.3191899999999999,1.31947,2562,18,0,1.320309646602351,1.3204065246807757,1.3204553860902897,1.3204879369434275,0.0018354018481351784,15.92995783735617,-6.433792423088391e-05,-2.350420274443417e-05,-4.083372148644975e-05,-4.083372148644975e-05,-8.517359287707471e-05,BEARISH,BEARISH,1.3273085258725759,1.3203015,1.3203015,1.3132944741274242,0.9251803249464281,0.010614281469150095,0.9251803249464281,False,False,False,1.4222622374249236,5.909561018854517,1.4222622374249236,5.909561018854517,25.53824545065033,STRONG,False,False,0.7451564827486132,15.011616689964855,28.932550123496927,False,False,False,False,-0.00032999999999994145
2025-08-01 05:00:00,1.31948,1.31972,1.31891,1.31945,2081,4,0,1.3201186140240508,1.3203195678916142,1.3204159591847882,1.3204776092126473,0.001762158858982664,15.86580908335128,-0.00013193161751945404,-4.5189685699438145e-05,-8.674193182001588e-05,-8.674193182001588e-05,-6.759369328857012e-05,NONE,NONE,1.3273085258725759,1.3203015,1.3203015,1.3132944741274242,0.9251803249464281,0.010614281469150095,0.9251803249464281,False,False,False,1.3755649552324367,6.850503246675095,1.3755649552324367,6.850503246675095,28.468081882382705,STRONG,False,False,0.7451564827486132,15.011616689964855,28.932550123496927,False,False,False,False,-0.00032999999999994145
2025-08-01 06:00:00,1.31941,1.32037,1.31936,1.31999,1716,18,0,1.3200900331298175,1.3202896071741947,1.3203992549030317,1.3204727573796857,0.0017084332261981848,24.684541202114204,-0.00014030922203311924,-6.421359296617437e-05,-7.609562906694487e-05,-7.609562906694487e-05,-8.377604513665204e-06,NONE,NONE,1.3273085258725759,1.3203015,1.3203015,1.3132944741274242,0.9251803249464281,0.010614281469150095,0.9251803249464281,False,False,False,4.035089415637961,6.5612236484426445,4.035089415637961,6.5612236484426445,28.137486538359493,STRONG,False,False,0.7451564827486132,15.011616689964855,28.932550123496927,False,False,False,False,-0.00032999999999994145
2025-08-01 07:00:00,1.31999,1.32006,1.31929,1.31979,1444,18,0,1.3200233591009694,1.3202441883401772,1.3203753625538934,1.3204659637739178,0.0016414022814697387,23.693955362804147,-0.00016122832275433652,-8.36165389238068e-05,-7.761178383052971e-05,-7.761178383052971e-05,-2.0919100721217276e-05,NONE,NONE,1.3273085258725759,1.3203015,1.3203015,1.3132944741274242,0.9251803249464281,0.010614281469150095,0.9251803249464281,False,False,False,3.8998819040373527,6.645988182008287,3.8998819040373527,6.645988182008287,27.987640135361254,STRONG,False,False,0.7451564827486132,15.011616689964855,28.932550123496927,False,False,False,False,-0.00032999999999994145
2025-08-01 08:00:00,1.31978,1.32059,1.31947,1.32017,1688,18,0,1.3200559459674206,1.3202374439456157,1.3203673091204076,1.3204630188607445,0.0016041592613647581,29.484136692093756,-0.0001454671814644648,-9.598666743193841e-05,-4.948051403252639e-05,-4.948051403252639e-05,1.5761141289871716e-05,NONE,NONE,1.3273085258725759,1.3203015,1.3203015,1.3132944741274242,0.9251803249464281,0.010614281469150095,0.9251803249464281,False,False,False,6.065330070319417,6.31455035815306,6.065330070319417,6.31455035815306,26.132316367867116,STRONG,False,False,0.7451564827486132,15.011616689964855,28.932550123496927,False,False,False,False,-0.00032999999999994145
2025-08-01 09:00:00,1.32017,1.3212,1.31972,1.32037,3087,18,0,1.3201257357524383,1.3202494944960141,1.3203674146450974,1.3204620932999411,0.0015952907426958415,32.391925568844755,-0.00011550654733194499,-9.989064341193974e-05,-1.5615903920005245e-05,-1.5615903920005245e-05,2.9960634132519814e-05,NONE,NONE,1.3273085258725759,1.3203015,1.3203015,1.3132944741274242,0.9251803249464281,0.010614281469150095,0.9251803249464281,False,False,False,8.394655201420997,5.896107397954128,8.394655201420997,5.896107397954128,25.514554928421667,STRONG,True,False,0.7451564827486132,15.011616689964855,28.932550123496927,False,False,False,False,0.00016000000000016001
2025-08-01 10:00:00,1.32037,1.32063,1.31852,1.31942,3303,18,0,1.3199689055852297,1.3201740859054674,1.3203302611296035,1.3204517242123797,0.0016320556896461426,26.749455283511693,-0.0001665002778852287,-0.00011321257030659755,-5.328770757863115e-05,-5.328770757863115e-05,-5.099373055328371e-05,NONE,NONE,1.3273085258725759,1.3203015,1.3203015,1.3132944741274242,0.9251803249464281,0.010614281469150095,0.9251803249464281,False,False,False,7.619439949667774,10.603545385556739,7.619439949667774,10.603545385556739,24.86176547581202,MODERATE,False,True,0.7451564827486132,15.011616689964855,28.932550123496927,False,False,False,False,-0.0004999999999999449
2025-08-01 11:00:00,1.31934,1.31938,1.3159,1.31595,2658,18,0,1.3190758154551787,1.3197900780958793,1.3201584861833446,1.3204069309366346,0.0017669088546714159,15.873078689462588,-0.00048136430862788515,-0.0001868429179708551,-0.00029452139065703006,-0.00029452139065703006,-0.00031486403074265645,NONE,NONE,1.3273085258725759,1.3203015,1.3203015,1.3132944741274242,0.9251803249464281,0.010614281469150095,0.9251803249464281,False,False,False,6.53520467854678,19.686216171685338,6.53520467854678,19.686216171685338,26.668331885446253,STRONG,False,False,0.7451564827486132,15.011616689964855,28.932550123496927,False,True,False,False,-0.004590000000000094
2025-08-01 12:00:00,1.31605,1.3165499999999999,1.31406,1.3147,2763,18,0,1.3181034120206945,1.3193273437235267,1.3199444279016448,1.3203501455541806,0.0018185582221948778,13.710431655228263,-0.0008222821183705431,-0.00031393075805079274,-0.0005083513603197504,-0.0005083513603197504,-0.00034091780974265795,NONE,NONE,1.3273085258725759,1.3203015,1.3203015,1.3132944741274242,0.9251803249464281,0.010614281469150095,0.9251803249464281,False,False,False,5.896053939376218,24.98795622955885,5.896053939376218,24.98795622955885,29.179028220219767,STRONG,False,False,8.913649023827864,15.011616689964855,28.932550123496927,False,True,False,False,-0.00598999999999994
2025-08-01 13:00:00,1.3147,1.31662,1.31454,1.3166,2481,2,0,1.3177693204605403,1.3190794033850242,1.3198132738662862,1.3203128306730445,0.0018372326348952337,29.445761601156292,-0.000928445278501,-0.0004368336621408342,-0.0004916116163601658,-0.0004916116163601658,-0.0001061631601304569,NONE,NONE,1.3273085258725759,1.3203015,1.3203015,1.3132944741274242,0.9251803249464281,0.010614281469150095,0.9251803249464281,False,False,False,5.691406389696097,22.967256028965316,5.691406389696097,22.967256028965316,31.40062787738853,STRONG,False,False,35.37604456331809,15.011616689964855,28.932550123496927,False,False,False,False,-0.004329999999999945
2025-08-01 14:00:00,1.3166,1.31728,1.31565,1.31574,2648,18,0,1.317318360358198,1.3187758212591127,1.3196535376362357,1.3202673298703278,0.0018224303038312899,27.042027922217628,-0.0010696449591900414,-0.0005633959215506757,-0.0005062490376393658,-0.0005062490376393658,-0.00014119968068904143,NONE,NONE,1.3273085258725759,1.3203015,1.3203015,1.3132944741274242,0.9251803249464281,0.010614281469150095,0.9251803249464281,False,False,False,7.91461535838324,21.49995996631848,7.91461535838324,21.49995996631848,32.456708608139834,STRONG,False,False,23.398328687547753,22.56267409156457,28.932550123496927,False,False,False,False,-0.003730000000000011
